"Time","ID","Category","Group","Event","Msg. Type","Priority","Ether Type","Src. MAC","Src. Vendor","Src. Int.","Src. Zone","Dst. MAC","Dst. Vendor","Dst. Int.","Dst. Zone","Src. IP","Src. Port","Src. Name","Src.NAT IP","Src.NAT Port","In SPI","Dst. IP","Dst. Port","Dst. Name","Dst.NAT IP","Dst.NAT Port","Out SPI","IP Protocol","ICMP Type","ICMP Code","RX Bytes","TX Bytes","Access Rule","NAT Policy","User Name","Session Time","Session Type","IDP Rule","IDP Priority","HTTP OP","URL","VPN Policy","HTTP Result","Block Cat","Application","FW Action","DPI","Notes","Message","HTTP Referer"
"10/15/2025 12:35:21","1369","Firewall Settings","Flood Protection","Possible TCP Flood","Standard Message String","Alert","2048","BC:9B:68:94:CB:C7","VANTIVA USA LLC","X1","WAN","2C:B8:ED:C3:93:21","SONICWALL","X1","WAN","23.221.236.169","443","","","","","50.199.205.205","34185","","","","","tcp","","","1500","","","","","","","","","","","","","","","NA","","","Possible TCP Flood on IF X1 - src: 23.221.236.169:443 dst: 50.199.205.205:34185",""
"10/15/2025 12:35:22","1371","Firewall Settings","Flood Protection","Possible TCP Flood Continues","Simple Message String","Warning","2048","BC:9B:68:94:CB:C7","VANTIVA USA LLC","X1","WAN","2C:B8:ED:C3:93:21","SONICWALL","","","198.244.191.19","443","","","","","50.199.205.205","21002","","","","","tcp","","","52","","","","","","","","","","","","","","","NA","","","Possible TCP Flood on IF X1 - src: 198.244.191.19:443 dst: 50.199.205.205:21002 - rate: 374/sec continues",""
"10/15/2025 12:35:24","1370","Firewall Settings","Flood Protection","Possible TCP Flood Ceased","Standard Message String","Alert","2048","BC:9B:68:94:CB:C7","VANTIVA USA LLC","X1","WAN","2C:B8:ED:C3:93:21","SONICWALL","","","52.207.39.87","443","","","","","50.199.205.205","10612","","","","","tcp","","","46","","","","","","","","","","","","","","","NA","","","Possible TCP Flood on IF X1 - from machine xx:xx:68:94:cb:c7 with TCP packet rate of 12/sec has ceased",""
"10/15/2025 12:51:46","82","Security Services","Attacks","Port Scan Possible","Standard Note String","Alert","2048","BC:9B:68:94:CB:C7","VANTIVA USA LLC","X1","WAN","2C:B8:ED:C3:93:21","SONICWALL","X1","WAN","71.234.106.44","19078","","","","","50.199.205.205","54422","","","","","udp","","","52","","","44","","","","","","","","","","","General UDP","NA","","Pkt is dropped. UDP scanned port list, 13423, 13421, 13425, 13424, 54425","Possible port scan detected",""
"10/15/2025 12:51:46","83","Security Services","Attacks","Port Scan Probable","Standard Note String","Alert","2048","BC:9B:68:94:CB:C7","VANTIVA USA LLC","X1","WAN","2C:B8:ED:C3:93:21","SONICWALL","X1","WAN","71.234.106.44","19078","","","","","50.199.205.205","13420","","","","","udp","","","52","","","44","","","","","","","","","","","General UDP","NA","","Pkt is dropped. UDP scanned port list, 13423, 13421, 13425, 13424, 54425, 54422, 54423, 54421, 54427, 13420","Probable port scan detected",""
"10/15/2025 12:55:52","82","Security Services","Attacks","Port Scan Possible","Standard Note String","Alert","2048","BC:9B:68:94:CB:C7","VANTIVA USA LLC","X1","WAN","2C:B8:ED:C3:93:21","SONICWALL","X1","WAN","73.125.241.251","28310","","","","","50.199.205.205","64660","","","","","udp","","","52","","","44","","","","","","","","","","","General UDP","NA","","Pkt is dropped. UDP scanned port list, 64662, 64664, 64659, 64663, 64661","Possible port scan detected",""
"10/15/2025 12:57:16","82","Security Services","Attacks","Port Scan Possible","Standard Note String","Alert","2048","BC:9B:68:94:CB:C7","VANTIVA USA LLC","X1","WAN","2C:B8:ED:C3:93:21","SONICWALL","X1","WAN","50.116.23.67","47431","","","","","50.199.205.205","48996","","","","","tcp","","","46","","","44","","","","","","","","","","","General TCP","NA","","Pkt is dropped. TCP scanned port list, 53866, 9252, 17531, 26687, 113","Possible port scan detected",""
"10/15/2025 13:04:07","82","Security Services","Attacks","Port Scan Possible","Standard Note String","Alert","2048","BC:9B:68:94:CB:C7","VANTIVA USA LLC","X1","WAN","2C:B8:ED:C3:93:21","SONICWALL","X1","WAN","16.15.186.31","443","","","","","50.199.205.205","43983","","","","","tcp","","","46","","","","","","","","","","","","","","","NA","","Pkt is dropped. TCP scanned port list, 6320, 16762, 23080, 59925, 1765","Possible port scan detected",""
"10/15/2025 13:54:52","82","Security Services","Attacks","Port Scan Possible","Standard Note String","Alert","2048","BC:9B:68:94:CB:C7","VANTIVA USA LLC","X1","WAN","2C:B8:ED:C3:93:21","SONICWALL","X1","WAN","35.149.219.101","23507","","","","","50.199.205.205","50090","","","","","udp","","","80","","","44","","","","","","","","","","","General UDP","NA","","Pkt is dropped. UDP scanned port list, 60432, 60430, 44477, 60433, 60429","Possible port scan detected",""
"10/15/2025 13:54:52","83","Security Services","Attacks","Port Scan Probable","Standard Note String","Alert","2048","BC:9B:68:94:CB:C7","VANTIVA USA LLC","X1","WAN","2C:B8:ED:C3:93:21","SONICWALL","X1","WAN","35.149.219.101","23507","","","","","50.199.205.205","60435","","","","","udp","","","80","","","44","","","","","","","","","","","General UDP","NA","","Pkt is dropped. UDP scanned port list, 60432, 60430, 44477, 60433, 60429, 50090, 60434, 60428, 17577, 60435","Probable port scan detected",""
